Feature,Importance
c_n_bonds,0.11064114721665819
max_bond_length,0.10254456424724534
bond_density,0.07392937171770993
rotatable_bonds,0.05997498944450789
avg_angle_strain,0.04317760844297054
avg_bond_length,0.042337436435412365
min_bond_length,0.04065062896370213
hba_count,0.03597722086720483
c_o_bonds,0.035128029348289305
topology_complexity,0.03483175111271302
max_angle_strain,0.03241976712646314
molecular_weight,0.028426368289646023
num_nitrogen,0.02222972792635986
num_hetero,0.021449567756873077
n_o_ratio,0.021392369843322608
std_bond_length,0.020903031199747305
heteroatom_ratio,0.020042067079500972
branching_index,0.01943152933811106
avg_charge,0.019317730932135218
ring_count,0.019166671895193926
angles_per_atom_avg,0.01808406942095692
avg_uff_energy,0.017659798158695044
max_uff_energy,0.01581584009430367
avg_vdw_distance,0.01566707385475607
dihedral_count,0.015632223328782672
c_c_bonds,0.015152814593631922
num_oxygen,0.012286891022653084
c_h_bonds,0.011531335062379492
heavy_atom_count,0.010473500343406989
num_carbon,0.010304187604300496
angle_count,0.009738026405590964
sp2_ratio,0.00928551179450648
avg_coordination,0.008541229709944927
bond_count,0.007961459646406717
hbd_count,0.006577521798332026
sp3_ratio,0.005998607107848994
aromatic_ring_count,0.004701974250468433
sp_ratio,0.0006073009143082901
angles_per_atom_max,9.055704960225983e-06
min_uff_energy,0.0
